Kokoro,ココロ
,Ievan Polkka
Meruto,メルト
Hitobashira Alice,人柱アリス
Kantarera,カンタレラ
Sandoriyon,サンドリヨン
Roshin Yukai,炉心融解
Saihate,サイハテ
Miku Miku ni Shite Ageru♪ (Shite Yan yo),みくみくにしてあげる♪【してやんよ】
,リグレットメッセージ
Romio to Shinderera,ロミオとシンデレラ
Migikata no Chou,右肩の蝶
,Creepy Song
,Repeat
,USBmine
,Power Supply
,Only A Dream
,Redemption
,リンリンシグナル
,Nyanyanyanyanyanyanya!
,"""Pan con Chocolate"""
,Packaged
,melody...
PoPiPo,ぽっぴっぽー
Burakku★Rokku Shuutaa,ブラック★ロックシューター
Waarudo Izu Main,ワールドイズマイン
Koisuru VOC@LOID,恋スルVOC@LOID
Koi wa Sensou,恋は戦争
Hatsune Miku no Shoushitsu -DEAD END-,初音ミクの消失 -DEAD END-
Musunde Hiraite Rasetsu to Mukuro,結ンデ開イテ羅刹ト骸
Sennen no Dokusou Ka,千年の独奏歌
Hajimete no Koi ga Owaru Toki,初めての恋が終わる時
,"Last Night, Good Night"
Ura-Omote Rabaazu,裏表ラバーズ
Onaka Suita Uta,おなかすいたうた
,ミラクルペイント
Roorin Gaaru,ローリンガール
,1925
,Innocence
,palette world breakdown
,ARiA
,SPiCa
,Nebula
,Just Be Friends
Daburu Rariatto,ダブルラリアット
,magnet
Matoryoshika,マトリョシカ
Waaruzu Endo Dansuhooru,ワールズエンド・ダンスホール
,aiSeNMa
,Interval of clouds
,I Love Waffles
,iNSoMNia
,Angels Fly Away
,DISCON_COMMUNICATION
,Existence
Gekokujou (kan),下剋上(完)
,Secret
Jemini,ジェミニ
,Fire◎Flower
,RIP=RELEASE
Toeto,トエト
,Wash My Blood
,DYE
,Corruption Garden
,@YOUR SIDE
,Machine In Love
,Dinky Dink No Time To Think
,I Still Want U
,Halloween Requiem
,"Flap the Wings'''"" "
,Shouted Stars
,dreamin' flyer
,samsara
,Little Toy Robot
,Last Dance
,Never Afraid
Suiito An no Uta,すいーとあん のうた
,Baby Bear
,Headline Love
,sensitivity
,AREUS
,Nemesis
,Lonely Flight
,Even if I'm Imaginary
,HIM
Watashi ga Aishita Geisha Girl,私が愛したゲイシャガール
Guriin Guriin ~Midorimushi~,グリーングリーン～ミドリムシ～
,アブストラクト・ナンセンス
Yumemiru Kotori,夢みることり
,Succubus
Iroha Uta,いろは唄
Yumekui Shirokuro Baku,夢喰い白黒バク
Senbonzakura,千本桜
,I Only Speak Konglish
Tsugai Kogarashi,番凩
,サイバーサンダーサイダー
Kodoku no Hate,孤独の果て
,Nostalogic
Karakuri卍Burst,からくり卍ばーすと
,Jutenija
,Change me
,Pane dhiria
Tsumugi Uta,紡唄
Yomi Zakura,黄泉桜
,ピアノ×フォルテ×スキャンダル
Rinascita~Hajimari no Uta~,Rinascita～始まりの謳～
,siGrE
Norainu Shissou Biyori,野良犬疾走日和
Boukyaku Shinjuu,忘却心中
,Dog Day Afternoon
,PONPONPON
Tsukema Tsukeru,つけまつける
,The Universe
ggrks-Gugure Kasu-,ggrks-ググれカス-
,SPICE!
Rimokon,リモコン
Tokyo Tedibea,東京テディベア
,trick and treat
Hitori ni Shinaide.,ひとりにしないで。
,インビジブル
Akahitoha,紅一葉
Nazotoki,ナゾトキ
Merankorikku,メランコリック
,iNSaNiTY
,CiRCuS MoNSTeR
,Lost Destination
,トゥインクル
,Never
,あの双子が円周率1000桁に挑戦
Yami no Dance Site,闇のダンスサイト
,MIDI MASTER!!
Kagerou Deizu,カゲロウデイズ
,Rugrats Theory
Mozaikurooru,モザイクロール
Yowamushi Montblanc,弱虫モンブラン
,8HIT
Bunka Kaihouku,BUNKA開放区
Ikasama⇔Kajino,イカサマ⇔カジノ
Renraku Madaa?,レンラクマダー？
,パンプキン・シンドローム
"Saa, Docchi?",さあ、どっち？
Kagamine Len no Bousou,鏡音レンの暴走
Juumensou,十面相
Houseki to Nazo to Princess,''宝石と謎とプリンセス''
Otona no Omocha,"""オトナのオモチャ"""
,FREELY TOMORROW
Reinou Shoujo no Hanei to Suitai,霊能少女の繁栄と衰退
Suki Kirai,スキキライ
Nazokake,ナゾカケ
Amai Kotoba,甘い言葉
Kami Hikouki,紙飛行機
,Transmit
Kakome Kakome,かこめかこめ
Shuujin,囚人
Danshingu☆Samurai,ダンシング☆サムライ
Gaikotsu Gakudan to Riria,骸骨楽団とリリア
,mErcy
,ディスコティック★ラヴ
,I WANNA TRUST YOU
"Yuragi no Uchuu, Koi to Mirai",ゆらぎの宇宙、恋と未来
Mairisu Dame!,マイリスダメー！
,Astral Domination
"Higashi no Akatsuki, Nishi no Tasogare",東ノ暁　西ノ黄昏
,U Know It (My Name Is SONiKA)
Totemo Itai Itagaritai,とても痛い痛がりたい
,Tell Your World
Kudoryafuka,クドリャフカ
,エンクロージャー
Pantsu Nugeru mon!,パンツ脱げるもん！
,Chloe
,Marie-Luise
,Harvest
Jinrou Kyoushikyoku,人狼狂詩曲
,GHOST
,Dolls
Anchikurorobenzen (Jouzai-kei Sennou Songu),アンチクロロベンゼン'''【浄罪系洗脳ソング】
Boku ni Piano wo Hikasete,ぼくにピアノを弾かせて
Torinoko Shiti,トリノコシティ
,タイガーランペイジ
,Sweetiex2
,リミッター
Uso to Time Machine,嘘とタイムマシン
Boku to Arisu no Wandaarando,ボクとアリスのワンダーランド
Nanabanme no Boku,7番目の僕
Saiaku no Kaanibaru,最悪のカーニバル
Onihime to Hanaarashi,鬼姫と花嵐
,クローバー
,アンリアル・コミュニケーション
Kienai Hitomi.,きえないひとみ。
,ハローアゲイン
,orange
Tobira no Mukou,扉の向こう
,リンリンHIGH☆MIND
,トゥルリラタリラトゥルラ
Houkouonchi,方向音痴
Ohime-sama ni Naritai no!,おひめさまになりたいのッ！
,sigh
Maajan Chuudoku,麻雀中毒
,ロッテンガールグロテスクロマンス
Makuragi,枕木
,SKELETON LIFE
Utakata no Gensou,泡沫ノ幻想
↑Jinsei Geemu↓,↑人生ゲーム↓
,Miracle is Dead
,proof of life
,MEGANE
Kumo no Iseki,雲の遺跡
Hakaokuri no Uta,送墓唄
Tousou Romantic,逃走ロマンティック
Kemikaru Emōshon,ケミカルエモーション
Parajikurorobenzen (Hakai-kei Sennou Songu),パラジクロロベンゼン'''【破壊系洗脳ソング】
,ボーナスステージ
Boku wo Sonna Me de Minaide,僕をそんな目で見ないで
Kakokyuu Dance,過呼吸ダンス
Ryuu no Naku Hakoniwa Yori,龍ノ啼ク箱庭拠り
,escapade
Benzen (Iyashi-kei Sennou Songu),ベンゼン'''【癒し系洗脳ソング】
,Be mine!
Seishun Heroo Waaku,青春ハローワーク
Kurai Mori no Circus,暗い森のサーカス
,not blue.
,S・K・Y
,SADISTIC VAMPIRE
,soundless voice
Kurikaeshi Hitotsubu,繰り返し一粒
Nitorobenzen (Minzoku-kei Sennou Songu),ニトロベンゼン'''【民族系洗脳ソング】
,Next Stage
"Kochira, Koufuku Anshin Iinkai desu.",こちら、幸福安心委員会です。
Nayami Muyou!!,なやみむようっ!!
Nusumi wa Gedou?,ぬすみはげどう？
,YELLOW TRICK
,テレパシズム
,ベイビーユー
,'コスメティックラブ!!
Shoujo to Kuroi Neko,少女と黒い猫
,ナルシスティックユニゾン
,I ♥
Shoujo Noir Aruiwa Akutoku no Sakae,少女ノワールあるいは悪徳の栄え
Kyoufu Gaaden,恐怖ガーデン
Kessen Toujitsu!,けっせんとうじつ!
Ai Dee,愛Dee
,グリーンストレート 
,マーメイド
,スーサイドガール・サイレントボーイ
,ポスタリゼーション!
,+REVERSE
,アドレサンス
Tarinai Mono,'足りないもの
,-ERROR
Netoge Haijin Sprechchor,ネトゲ廃人シュプレヒコール
Toruen (Nazotoki-kei Sennou Song),トルエン'''【謎解系洗脳ソング】
,ice
,アンハッピーリフレイン
Shirokuro Byoutou,白黒病棟
Rin Len Uchuu Touzokudan,リンレン宇宙盗賊団
Kimi ni Sasagu Fantajia,君に捧ぐファンタジア
,ODDS&ENDS
Himitsu Keisatsu,秘密警察
Kagamine Hachi-Hachi Hana no Kassen,鏡音八八花合戦
,ルカルカ★ナイトフィーバー
Dead Foresta ~Suiren no Mizuumi ni Shizumu~,Dead Foresta～睡蓮の湖に沈む～
Futatsu no Monogatari,二つの物語
Shinsetsu Shounen Shinkaron,新説少年進化論
Kodoku≒Egoism,孤独≒エゴイズム
Tsunde Renka,ツンデ恋歌
Majo,魔女
Noroi no Megane,のろいのめか゛ね ～ stray girl in her lenses
Yumemite mo Iijanai no,夢見てもいいじゃないの
,La Fiesta
Amanojaku,天ノ弱
,アンサー
"Hirari, Hirari",ひらり、ひらり
Ookami wa Akazukin ni Koi wo Shita,おおかみは赤ずきんに恋をした
Yī Èr (Ii Aru) Fankurabu,いーあるふぁんくらぶ
,*tear*
Namae no Nai Uta,なまえのないうた
Rin-chan Nau!,リンちゃんなう！
Okaasan,おかあさん
CHU! Shite!,CHU！して！
,Promise
Tsuki to Mogaribue no Insomunia,月と虎落笛のインソムニア
"E? Aa, Sou.",え？あぁ、そう。
Deddo Rain Sakasu,デッドラインサーカス
,アウト オブ エデン
Tengaku,天樂
Ore no Roodo Rooraa da!,俺のロードローラーだッ！
,John Smith's cover ft. KAITO
"Aa, Subarashiki Nyan-sei",嗚呼、素晴らしきニャン生
Saikyouiku,再教育
Hajimete no Oto,ハジメテノオト
,マカロン
,ソレイユ -Soleil-
Ikasama Raifu Geimu,イカサマライフゲイム
,Leia
Sakura no Ame,桜ノ雨
Shoujo Kanaria to Rengoku,少女カナリアと煉獄
Ningen Shikkaku,人間失格
Ririi Ririi★Baaningu Naito,リリリリ★バーニングナイト
Uta ni Katachi wa Nai Keredo,歌に形はないけれど
Piko Piko☆Rejendo Obu Za Naito,ピコピコ☆レジェンドオブザナイト
,Ur-Style
Kakurenbo,かくれんぼ
Hoshikuzu Utopia,星屑ユートピア
,＊ハロー、プラネット。
,Night Walker
Gomibako,ごみばこ
Sarubeeji,サルベージ
Shikkoku ouji -dark prince-,漆黒王子-dark prince-
KAGAMINE MAD Kyou-Shin-Tou,鏡音MAD狂信道
Soiyassaa!!,そいやっさぁ!!
Kokoro Shinryaku Robot,ココロ侵略Robot
Jinsei Risetto Botan,人生リセットボタン
,from Y to Y
Erekutorikku Rabu,エレクトリック・ラブ
Konbini,コンビニ
Himitsu ~Kuro no Chikai~,秘蜜〜黒の誓い〜
Watashi no Jikan,私の時間
,Leaving Donna
,No Logic
,clock lock works
,"Hello, Worker"
Fate of Soul ~Piriodo no Mukou no Yami~,Fate of Soul～ピリオドの向こうの闇～
Hannya Shingyou,般若心経
Konayuki,粉雪
Shinkai Shiti Andaaguraundo,深海シティアンダーグラウンド
,デイジー
Nisoku Hokou,二息歩行
Nemureru Mori,眠れる森
,sweet vengeance
Ie ni Kaeru to Tsuma ga Kanarazu Shinda Furi wo Shiteimasu.,家に帰ると妻が必ず死んだふりをしています。
,14
Toruko Koushinkyoku - Owata ＼(^o^)／,トルコ行進曲 - オワタ＼(^o^)／
,White Knight
Taketori Oobaanaito Senseeshon,竹取オーバーナイトセンセーション
Hatsune Miku no Bousou,初音ミクの暴走
Rekodo Redo,レコード・レド
,えれくとりっく・えんじぇぅ
,Knot or Not?
,Calalini
,KiLLER LADY
Wasurenbou,わすれんぼう
Ikitemasu ,"生きてます'''"" "
Mukashi Mukashi no Kyou no Boku,むかしむかしのきょうのぼく
Mrs.Pumpkin no Kokkei na Yume,Mrs.Pumpkinの滑稽な夢
Saru no Haitta Onsen wa Totemo Yabai,猿の入った温泉はとてもヤバい
Kasa to Ame,傘と雨
Yuuyami no Ayame Uta,夕闇ノ殺メ唄
miki miki★Romantikku Naito,ミキミキ★ロマンティックナイト
R☆L Katsuzetsu Tankyuu Ka,R☆L滑舌探求歌
Rinne,リンネ
Saikin Osen - Bacterial Contamination -,細菌汚染 - Bacterial Contamination -
Shinkai Shoujo,深海少女
,Starlight Keeper
Osananajimi ni sayonara,幼なじみにさよなら
"Eien ni Shiawase ni Naru Houhou, Mitsuke Mashita.",永遠に幸せになる方法、見つけました。
,Calc.
,Dear
Kurumi☆Ponchio,くるみ☆ぽんちお
Wadachi,轍 -わだち-
Kusari no Shoujo,鎖の少女
,メグメグ☆ファイアーエンドレスナイト
Zen'yasai no Kuroneko,前夜祭の黒猫
Tsurugi to Mahou no Fantajia,剣と魔法のファンタジア
,magician's operation
,からくりピエロ
Renai Yuusha,恋愛勇者
Panda Hiiroo,パンダヒーロー
,ARKADIA
Taisetsu na Kotoba,大切なコトバ
Akujiki Musume Conchita,悪食娘コンチータ
,ANTI THE∞HOLiC
Bucchigiri ni Shite Ageru♪,ぶっちぎりにしてあげる♪
Akatsuki Arrival,アカツキアライヴァル
Setsuna Torippu,セツナトリップ
Aku no Musume,悪ノ娘
Arubino,アルビノ
,WAVE
Yokkorasekkusu,よっこらせっくす
Maigo no Boku ni,迷子の僕に
Aku no Meshitsukai,悪ノ召使
Wandaarasuto,ワンダーラスト
