Kokoro,ココロ,こころ
Meruto,メルト,めると
Kantarera,カンタレラ,かんたれら
Sandoriyon,サンドリヨン,さんどりよん
Saihate,サイハテ,さいはて
Miku Miku ni Shite Ageru♪ (Shite Yan yo),みくみくにしてあげる♪【してやんよ】,みくみくにしてあげるしてやんよ
Romio to Shinderera,ロミオとシンデレラ,ろみおとしんでれら
Migikata no Chou,右肩の蝶,みぎかたのちょう
PoPiPo,ぽっぴっぽー,ぽっぴっぽー
Burakku★Rokku Shuutaa,ブラック★ロックシューター,ぶらっくろっくしゅーたー
Waarudo Izu Main,ワールドイズマイン,わーるどいずまいん
Hajimete no Koi ga Owaru Toki,初めての恋が終わる時,はじめてのこいがおわるとき
Onaka Suita Uta,おなかすいたうた,おなかすいたうた
Roorin Gaaru,ローリンガール,ろーりんがーる
Daburu Rariatto,ダブルラリアット,だぶるらりあっと
Matoryoshika,マトリョシカ,まとりょしか
Waaruzu Endo Dansuhooru,ワールズエンド・ダンスホール,わーるずえんどだんすほーる
Gekokujou (kan),下剋上(完),げこくじょうかん
Jemini,ジェミニ,じぇみに
Toeto,トエト,とえと
Suiito An no Uta,すいーとあん のうた,すいーとあんのうた
Guriin Guriin ~Midorimushi~,グリーングリーンーミドリムシー,ぐりーんぐりーんーみどりむしー
Yumemiru Kotori,夢みることり,ゆめみることり
Iroha Uta,いろは唄,いろはうた
Yumekui Shirokuro Baku,夢喰い白黒バク,ゆめくいしろくろばく
Senbonzakura,千本桜,せんぼんざくら
Kodoku no Hate,孤独の果て,こどくのはて
Tsumugi Uta,紡唄,つむぎうた
Boukyaku Shinjuu,忘却心中,ぼうきゃくしんじゅう
Tsukema Tsukeru,つけまつける,つけまつける
Rimokon,リモコン,りもこん
Tokyo Tedibea,東京テディベア,とうきょうてでぃべあ
Hitori ni Shinaide.,ひとりにしないで。,ひとりにしないで
Nazotoki,ナゾトキ,なぞとき
Merankorikku,メランコリック,めらんこりっく
Kagerou Deizu,カゲロウデイズ,かげろうでいず
Mozaikurooru,モザイクロール,もざいくろーる
