○○は受信機なんです,○○はじゅしんきなんです
○○離れ ～最近の若者は～,○○ばなれ ～さいきんのわかものは～
☆に願いを,☆にねがいを
☆の瞬く夏の夜空で……,☆のまたたくなつのよぞらで……
あ/sansuiP,あ
嗚呼、麗しの男子校,ああ、うるわしのだんしこう
嗚呼、この世界は最低だ,ああ、このせかいはさいていだ
嗚呼、本日も回転斬り,ああ、ほんじつもかいてんぎり
あゝ、神様！,ああかみさま
ああ神様、あなたは。,ああかみさま、あなたは。
嗚呼スザンナ,ああすざんな
嗚呼、素晴らしきニャン生,ああすばらしきにゃんせい
ああっお犬さまっ,ああっおいぬさまっ
嗚呼、夏が来る,ああなつがくる
アイ/ATOLS,あい
アイ/DECO*27,あい
アイアム・ア・ジャパニーズ一般ピーポー,あいあむあじゃぱにーずいっぱんぴーぽー
アイアムアヒーロー,あいあむあひーろー
アイアムスケルトン,あいあむすけるとん
愛ある暮らし,あいあるくらし
アイアン・ベルベット,あいあん・べるべっと
藍色アイロニ,あいいろあいろに
アイイロジック,あいいろじっく
藍色の日々,あいいろのひび
あいうぉんちゅー,あいうぉんちゅー
愛エキ,あいえき
アイオイレトロ~大正時代純愛少女~,あいおいれとろたいしょうじだいじゅんあいしょうじょ
アイオハート,あいおはーと
アイカギ,あいかぎ
合鍵ガンマンと合鍵忍者,あいかぎがんまんとあいかぎにんじゃ
愛花晴々,あいかせいせい
哀華繚乱,あいかりょうらん
哀夏恋～全て夏のせい～,あいかれん　すべてなつのせい
アイガタリ,あいがたり
愛が足りない,あいがたりない
哀玩少年,あいがんしょうねん
アイキズナ,あいきずな
愛くらい浅い言葉などない,あいくらいあさいことばなどない
哀撃貴鋼-Aigekikikou-,あいげききこう
愛濾す,あいこす
愛言葉,あいことば
合言葉,あいことば
あいことば,あいことば
アイサツロボット,あいさつろぼっと
愛されなくても君がいる,あいされなくてもきみがいる
あいしあう,あいしあう
愛し方を知らない少女,あいしかたをしらないしょうじょ
愛して☆ぎっちょん,あいしてぎっちょん
アイシテの証明,あいしてのしょうめい
愛してる、誰よりも強く深く愛してる,あいしてる、だれよりもつよくふかくあいしてる
愛してるって言いたいだけ,あいしてるっていいたいだけ
愛してるって伝えたいけど,あいしてるってつたえたいけど
