	Eternal Living Fragrance,万古生香,ばんこしょうかおり
 Kumikyoku Nico Nico Douga,組曲「ニコニコ動画」,くみきょくにこにこどうが
 Negi no Matsuri Uta,ネギの祀り謳,ねぎのまつり謳
 Pascal's Promnade,パスカルの散歩道,ぱすかるのさんぽみち
 Shōkan no uta,償還の歌,しょうかんのうた
_ ni Kirawarete _ wa Shinda,_に嫌われて_は死んだ,にきらわれてはしんだ
- Ito ~,ー糸ー,ーいとー
- Watashi ni Uta o Kudasai -,-私に詩を下さい-,わたしにしをください
---Contrast to Kyoukai-sen---,---コントラストと境界線---,こんとらすとときょうかいせん
-Hallowe'en waltz-,南瓜が灯る素敵な夜に,かぼちゃがともるすてきなよるに
-I'm the Whisper Angel-,明治神宮前〈原宿〉,めいじじんぐうまえはらじゅく
-Otoame-,-オトアメ-音雨,おとあめおとう
-saika-,彩花,あやか
-saika-,彩花,あやか
-saika-,彩花,あやか
-Shuu-,-終-,おわり
-Zero-,-零-,れい
.Omokage Puzzle.,.面影パズル.,おもかげぱずる
'Sayonara' wa Uso,サヨナラは嘘,さよならはうそ
'Sayonara' wa Uso,サヨナラは嘘,さよならはうそ
'Tis so sweet to trust in Jesus,主と主のことばに,おもとおものことばに
" Akujiki Musume Conchita, ",悪食娘コンチータ,あくじきむすめこんちーた
"- Kami Omou, Toki no Kyoukai -",- 神想フ、時ノ境界 -,かみそうふときのきょうかい
"...Maa, Nante Yuuka Sono... Korekara mo, Douka Onegai Shimasu.",...まぁ、なんてゆうかその...これからも、どうかお願いします。,まぁなんてゆうかそのこれからもどうかおねがいします
"'Omedetou.' 'Arigarou, Rekkou ni Modaero.'",「おめでとう。」「ありがとう、烈光に悶えろ。」,おめでとうありがとうれつこうにもだえろ
"""0"" ga Itaru wa Yume",「0」が至るは夢,がいたるはゆめ
"""0"" ga Itaru wa Yume",「0」が至るは夢,がいたるはゆめ
"""Aida"" yori Gaisen Koushinkyoku",「アイーダ」より凱旋行進曲,あいーだよりがいせんこうしんきょく
"""Amasa"" no Hiketsu wa ""Love"" Desho?",「甘さ」の秘訣は「ラブ」でしょ?,あまさのひけつはらぶでしょ
"""Benizakura"" Shoujo Gensou",『紅桜』少女幻奏,べにざくらしょうじょまぼろしそう
